strut_id,defect,x0,y0,z0,x1,y1,z1,deep_interior
1463,bent,494.4,602.5,69.3,493.5,561.0,19.7,0
1464,bent,533.6,521.8,21.4,572.8,563.5,23.2,0
1472,bent,533.6,521.8,21.4,571.9,523.1,71.2,0
1496,bent,611.6,517.4,21.6,649.7,521.2,70.3,0
1504,bent,690.0,560.1,70.8,645.9,561.7,22.9,0
1507,bent,649.7,521.2,70.3,645.9,561.7,22.9,0
1517,bent,685.7,597.0,24.7,690.0,560.1,70.8,0
1520,bent,758.1,520.8,25.9,764.2,558.7,70.4,0
1521,bent,764.0,596.5,32.5,764.2,558.7,70.4,0
1526,thin,695.0,520.2,116.0,735.3,521.2,75.0,1
1532,bent,764.2,558.7,70.4,724.0,558.7,27.0,0
1616,bent,301.8,600.0,23.0,299.1,643.4,69.3,0
1666,missing,456.6,680.5,110.4,456.1,640.4,69.3,0
1718,bent,611.5,600.9,109.4,650.4,599.5,70.7,1
1728,missing,650.4,599.5,70.7,691.4,639.0,71.8,1
1744,bent,685.7,597.0,24.7,735.3,598.4,76.5,0
1762,disconnected,143.0,752.0,39.0,105.0,722.0,30.8,0
1765,disconnected,71.6,751.8,24.2,68.6,722.8,67.8,0
1766,missing,67.0,760.3,106.6,68.6,722.8,67.8,0
1772,missing,143.0,752.0,39.0,105.2,753.0,68.2,0
1773,missing,71.6,751.8,24.2,105.2,753.0,68.2,0
1774,missing,67.0,760.3,106.6,105.2,753.0,68.2,0
1775,missing,143.2,752.2,106.8,105.2,753.0,68.2,0
1791,disconnected,143.0,752.0,39.0,183.0,721.7,30.7,0
1800,missing,223.0,752.2,24.6,182.0,752.5,68.0,0
1801,missing,143.0,752.0,39.0,182.0,752.5,68.0,0
1802,missing,143.2,752.2,106.8,182.0,752.5,68.0,0
1803,missing,223.0,751.5,107.5,182.0,752.5,68.0,0
1818,disconnected,300.0,751.0,39.0,260.7,721.0,23.6,0
1828,missing,300.0,751.0,39.0,261.0,752.0,68.2,0
1829,missing,223.0,752.2,24.6,261.0,752.0,68.2,0
1830,missing,223.0,751.5,107.5,261.0,752.0,68.2,0
1831,missing,300.0,751.2,108.2,261.0,752.0,68.2,0
1847,disconnected,300.0,751.0,39.0,340.0,721.0,31.0,0
1856,missing,378.1,751.5,24.8,339.0,751.2,68.2,0
1857,missing,300.0,751.0,39.0,339.0,751.2,68.2,0
1858,missing,300.0,751.2,108.2,339.0,751.2,68.2,0
1859,missing,378.0,750.8,108.5,339.0,751.2,68.2,0
1874,disconnected,456.0,749.0,40.0,417.0,720.3,31.7,0
1884,missing,456.0,749.0,40.0,417.0,750.8,69.0,0
1885,missing,378.1,751.5,24.8,417.0,750.8,69.0,0
1886,missing,378.0,750.8,108.5,417.0,750.8,69.0,0
1887,missing,456.0,750.5,108.5,417.0,750.8,69.0,0
1902,disconnected,535.0,749.0,40.0,495.5,719.5,32.2,0
1903,disconnected,456.0,749.0,40.0,495.5,719.5,32.2,0
1908,bent,456.4,679.6,28.5,495.2,681.2,69.8,0
1912,missing,535.0,749.0,40.0,495.5,749.2,69.2,0
1913,missing,456.0,749.0,40.0,495.5,749.2,69.2,0
1914,missing,456.0,750.5,108.5,495.5,749.2,69.2,0
1915,missing,533.8,749.5,108.8,495.5,749.2,69.2,0
1930,disconnected,613.0,749.0,39.0,573.2,718.4,24.1,0
1931,disconnected,535.0,749.0,40.0,573.2,718.4,24.1,0
1940,missing,613.0,749.0,39.0,573.5,750.0,70.0,0
1941,missing,535.0,749.0,40.0,573.5,750.0,70.0,0
1942,missing,533.8,749.5,108.8,573.5,750.0,70.0,0
1943,missing,612.8,748.8,109.0,573.5,750.0,70.0,0
1954,thin,573.5,750.0,70.0,578.5,715.5,104.4,0
1958,disconnected,691.0,749.0,40.0,652.5,718.0,32.6,0
1959,disconnected,613.0,749.0,39.0,652.5,718.0,32.6,0
1968,missing,691.0,749.0,40.0,651.2,749.2,69.5,0
